Organisme,Domaine,Secteur,Specialite,Personnel_encadrement_interne,Personnel_encadrement_postes_vacants,Personnel_encadrement_externe,Professionnel_interne_standard,Professionnel_interne_expert,Professionnel_interne_expert_chef_equipe,Professionnel_interne_emerite,Professionnel_interne_emerite_chef_equipe,Professionnel_interne_standard_postes_vacants,Professionnel_interne_expert_postes_vacants,Professionnel_interne_expert_chef_̩quipe_postes_vacants,Professionnel_interne_emerite_postes_vacants,Professionnel_interne_emerite_chef_equipe_postes_vacants,Professionnel_externe,Technicien_interne_classe_nominale,Technicien_interne_classe_principale,Technicien_classe_principale_chef_equipe,Technicien_interne_classe_nominale_postes_vacants,Technicien_interne_classe_principale_postes_vacants,Technicien_classe_principale_chef_equipe_postes_vacants,Technicien_externe,Personnel_bureau_interne,Personnel_bureau_interne_postes_vacants,Personnel_bureau_externe,Total_personnel_interne,Total_postes_vacants,Total_personnel_externe
Agence du revenu du Qu̩bec,Sp̩cialit̩s en soutien aux RI,"Administration, comptabilit̩ et finance - Administration",Administration g̩n̩rale,0,0,0,26,6,14,1,0,15,1,0,0,0,13,29,5,0,5,1,0,0,9,0,1,90,22,14
Agence du revenu du Qu̩bec,Sp̩cialit̩s en soutien aux RI,"Administration, comptabilit̩ et finance - Administration",Gestion de projets (PCO) - Planification-suivi-contr̫le,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agence du revenu du Qu̩bec,Sp̩cialit̩s en soutien aux RI,"Administration, comptabilit̩ et finance - Administration",Information de gestion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agence du revenu du Qu̩bec,Sp̩cialit̩s en soutien aux RI,"Administration, comptabilit̩ et finance - Secr̩tariat",Secr̩tariat g̩n̩ral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,20,1,0
Agence du revenu du Qu̩bec,Sp̩cialit̩s en soutien aux RI,"Culture, langues et communication - Communication",Web et m̩dias sociaux,0,0,0,23,2,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,28,2,3
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,"Infrastructures, am̩nagement et transports - Arpentage et g̩omatique",G̩omatique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Analyse d'affaires,0,0,0,167,34,15,1,1,10,1,0,0,0,24,3,0,0,0,0,0,0,0,0,0,221,11,24
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Administration de donn̩es,0,0,0,30,1,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,31,1,9
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Analyse en d̩veloppement de syst̬me,0,0,0,20,2,0,0,0,4,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,22,4,79
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture d'affaires,0,0,0,13,15,0,7,0,4,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,35,8,3
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture d'entreprise,0,0,0,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture de donn̩es et d'information,0,0,0,12,5,0,3,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,20,1,5
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture de processus,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture de r̩seaux - T̩l̩communications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture de s̩curit̩,0,0,0,1,1,0,0,0,3,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,4,7
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture d'infrastructure technologique,0,0,0,11,8,1,1,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,21,6,10
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture d'int̩gration d'applications,0,0,0,1,10,0,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,22,1,1
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture d'int̩gration technologique,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture fonctionnelle,0,0,0,6,39,0,0,0,3,3,0,1,0,7,0,0,0,0,0,0,0,0,0,0,45,7,7
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture organique,0,0,0,22,23,0,2,0,2,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,47,3,10
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Coordination d'incidents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Formation TI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Gestion de projet,0,0,0,22,40,1,1,0,1,4,0,0,0,14,2,0,0,0,0,0,0,0,0,0,66,5,14
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Infrastructure technologique et g̩n̩rale,0,0,0,64,22,0,2,0,1,0,0,1,0,8,36,1,0,0,0,0,7,0,0,0,125,2,15
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Intelligence d'affaires,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Pilotage,0,0,0,79,7,6,0,0,12,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,93,12,3
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Programmation,0,0,0,380,0,0,0,0,79,0,0,0,0,160,47,11,0,3,0,0,9,0,0,0,438,82,169
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,S̩curit̩ de l'information,0,0,0,13,3,0,0,0,0,0,1,0,0,3,8,0,0,0,0,0,0,0,0,0,24,1,3
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Soutien aux utilisateurs,0,0,0,14,0,0,0,0,3,0,0,0,0,0,55,4,0,7,0,0,3,0,0,0,73,10,3
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Soutien de projet,0,0,0,17,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,17,5,7
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Conseil strat̩gique,0,0,0,32,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,0
Agence du revenu du Qu̩bec,Sp̩cialit̩s RI,Technologies de l'information - Informatique,T̩l̩communication,0,0,0,2,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,1,0
Autorit̩ des march̩s publics,Sp̩cialit̩s en soutien aux RI,"Administration, comptabilit̩ et finance - Administration",Administration g̩n̩rale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autorit̩ des march̩s publics,Sp̩cialit̩s en soutien aux RI,"Administration, comptabilit̩ et finance - Administration",Gestion de projets (PCO) - Planification-suivi-contr̫le,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autorit̩ des march̩s publics,Sp̩cialit̩s en soutien aux RI,"Administration, comptabilit̩ et finance - Administration",Information de gestion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autorit̩ des march̩s publics,Sp̩cialit̩s en soutien aux RI,"Administration, comptabilit̩ et finance - Secr̩tariat",Secr̩tariat g̩n̩ral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autorit̩ des march̩s publics,Sp̩cialit̩s en soutien aux RI,"Culture, langues et communication - Communication",Web et m̩dias sociaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autorit̩ des march̩s publics,Sp̩cialit̩s RI,"Infrastructures, am̩nagement et transports - Arpentage et g̩omatique",G̩omatique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autorit̩ des march̩s publics,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Analyse d'affaires,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autorit̩ des march̩s publics,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Administration de donn̩es,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autorit̩ des march̩s publics,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Analyse en d̩veloppement de syst̬me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autorit̩ des march̩s publics,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture d'affaires,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Autorit̩ des march̩s publics,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture d'entreprise,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Autorit̩ des march̩s publics,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture de donn̩es et d'information,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Autorit̩ des march̩s publics,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture de processus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autorit̩ des march̩s publics,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture de r̩seaux - T̩l̩communications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autorit̩ des march̩s publics,Sp̩cialit̩s RI,Technologies de l'information - Informatique,Architecture de s̩curit̩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
